ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
3100041000033111	325533008	Estradiol valerate 2mg tablets	Estradiol valerate 2mg tablets	Estradiol valerate	2.000mg	Tablet	Oral	6040101	200000
3100441000033119	325550005	Estriol 1mg tablets	Estriol 1mg tablets	Estriol	1.000mg	Tablet	Oral	6040101	3000
3191541000033110	325655005	Estradiol valerate 2mg / Norethisterone 700microgram tablets	Estradiol valerate 2mg / Norethisterone 700microgram tablets	Estradiol valerate/ Norethisterone	2.000mg + 700.000microgram	Tablet	Oral	6040101	7000
3191741000033119	325648008	Estradiol 2mg / Norethisterone acetate 1mg tablets	Estradiol 2mg / Norethisterone acetate 1mg tablets	Estradiol/ Norethisterone acetate	2.000mg + 1.000mg	Tablet	Oral	6040101	80000
3191841000033112	36065211000001103	Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches	Estradiol 50micrograms/24hours / Norethisterone 170micrograms/24hours transdermal patches	Estradiol/ Norethisterone acetate	50.000microgram/24.000hour + 170.000microgram/24.000hour	Transdermal patch	Transdermal	6040101	40000
3191941000033116	3948111000001106	Estradiol 50micrograms/24hours transdermal patches and Norethisterone 1mg tablets	Estradiol 50micrograms/24hours transdermal patches and Norethisterone 1mg tablets			Not applicable	Route of administration not applicable	6040101	200
3192041000033110	3947911000001108	Estradiol 40micrograms/24hours transdermal patches and Dydrogesterone 10mg tablets	Estradiol 40micrograms/24hours transdermal patches and Dydrogesterone 10mg tablets			Not applicable	Route of administration not applicable	6040101	700
3192141000033114	3948011000001105	Estradiol 80micrograms/24hours transdermal patches and Dydrogesterone 10mg tablets	Estradiol 80micrograms/24hours transdermal patches and Dydrogesterone 10mg tablets			Not applicable	Route of administration not applicable	6040101	600
3192241000033119	3369311000001103	Estradiol 1mg / Dydrogesterone 5mg tablets	Estradiol 1mg / Dydrogesterone 5mg tablets	Dydrogesterone/ Estradiol	5.000mg + 1.000mg	Tablet	Oral	6040101	10000
3192341000033112	3788211000001104	Estradiol valerate 1mg / Medroxyprogesterone 2.5mg tablets	Estradiol valerate 1mg / Medroxyprogesterone 2.5mg tablets	Estradiol valerate/ Medroxyprogesterone acetate	1.000mg + 2.500mg	Tablet	Oral	6040101	10000
3192441000033118	3864111000001104	Estradiol valerate 1mg / Medroxyprogesterone 5mg tablets	Estradiol valerate 1mg / Medroxyprogesterone 5mg tablets	Estradiol valerate/ Medroxyprogesterone acetate	1.000mg + 5.000mg	Tablet	Oral	6040101	5000
3192541000033117	3788311000001107	Estradiol valerate 2mg / Medroxyprogesterone 5mg tablets	Estradiol valerate 2mg / Medroxyprogesterone 5mg tablets	Estradiol valerate/ Medroxyprogesterone acetate	2.000mg + 5.000mg	Tablet	Oral	6040101	6000
3192641000033116	325662001	Estradiol 1mg / Norethisterone acetate 500microgram tablets	Estradiol 1mg / Norethisterone acetate 500microgram tablets	Estradiol/ Norethisterone acetate	1.000mg + 500.000microgram	Tablet	Oral	6040101	80000
3192741000033113	39689411000001101	Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets	Conjugated oestrogens 625microgram / Medroxyprogesterone 5mg tablets	Conjugated oestrogens/ Medroxyprogesterone acetate	625.000microgram + 5.000mg	Tablet	Oral	6040101	40000
3192841000033115	15621411000001104	Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets	Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets	Conjugated oestrogens/ Medroxyprogesterone acetate	300.000microgram + 1.500mg	Modified-release tablet	Oral	6040101	30000
3192941000033111	400674006	Conjugated oestrogens 625microgram tablets and Norgestrel 150microgram tablets	Conjugated oestrogens 625microgram tablets and Norgestrel 150microgram tablets			Not applicable	Route of administration not applicable	6040101	40000
3193041000033118	3341011000001106	Conjugated oestrogens 1.25mg tablets and Norgestrel 150microgram tablets	Conjugated oestrogens 1.25mg tablets and Norgestrel 150microgram tablets			Not applicable	Route of administration not applicable	6040101	10000
3194641000033114	4339811000001101	Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches	Estradiol 50micrograms/24hours / Levonorgestrel 7micrograms/24hours transdermal patches	Estradiol/ Levonorgestrel	50.000microgram/24.000hour + 7.000microgram/24.000hour	Transdermal patch	Transdermal	6040101	10000
3225741000033112	36065011000001108	Estradiol 37.5micrograms/24hours transdermal patches	Estradiol 37.5micrograms/24hours transdermal patches	Estradiol	37.500microgram/24.000hour	Transdermal patch	Transdermal	6040101	8000
3290541000033119	8801211000001108	Estradiol 1mg / Drospirenone 2mg tablets	Estradiol 1mg / Drospirenone 2mg tablets	Drospirenone/ Estradiol hemihydrate	2.000mg + 1.000mg	Tablet	Oral	6040101	10000
4118041000033114	409118006	Conjugated oestrogens 300microgram tablets	Conjugated oestrogens 300microgram tablets	Conjugated oestrogens	300.000microgram	Tablet	Oral	6040101	30000
4201641000033114	11763611000001103	Progesterone micronised 200mg capsules	Progesterone micronised 200mg capsules	Progesterone	200.000mg	Capsule	Oral	6040102	2000
4201741000033117	11763511000001102	Progesterone micronised 100mg capsules	Progesterone micronised 100mg capsules	Progesterone	100.000mg	Capsule	Oral	6040102	200000
7684641000033118	20293811000001102	Ulipristal 5mg tablets	Ulipristal 5mg tablets	Ulipristal acetate	5.000mg	Tablet	Oral	6040102	10000
8129141000033112	21366211000001107	Estradiol 500micrograms / Dydrogesterone 2.5mg tablets	Estradiol 500micrograms / Dydrogesterone 2.5mg tablets	Dydrogesterone/ Estradiol	2.500mg + 500.000microgram	Tablet	Oral	6040101	9000
8536241000033116	22683711000001100	Progesterone micronised 200mg vaginal capsules	Progesterone micronised 200mg vaginal capsules	Progesterone	200.000mg	Capsule	Vaginal	6040102	3000
9068241000033110	23948311000001106	Progesterone 25mg/1.119ml solution for injection vials	Progesterone 25mg/1.119ml solution for injection vials	Progesterone	22.350mg/1.000ml	Solution for injection	Intramuscular/ Subcutaneous	6040102	90
9300941000033118	28422411000001100	Dienogest 2mg tablets	Dienogest 2mg tablets	Dienogest	2.000mg	Tablet	Oral	6040102	900
10043941000033117	28423111000001104	Progesterone 100mg pessaries	Progesterone 100mg pessaries	Progesterone	100.000mg	Pessary	Vaginal	6040102	500
12291041000033111	32936711000001100	Conjugated oestrogens 450microgram / Bazedoxifene 20mg modified-release tablets	Conjugated oestrogens 450microgram / Bazedoxifene 20mg modified-release tablets	Bazedoxifene acetate/ Conjugated oestrogens	20.000mg + 450.000microgram	Modified-release tablet	Oral	6040101	30
12878441000033111	36411111000001101	Progesterone 25mg/1.112ml solution for injection vials	Progesterone 25mg/1.112ml solution for injection vials	Progesterone	22.480mg/1.000ml	Solution for injection	Subcutaneous/ Intramuscular	6040102	70
13451141000033114	38344311000001108	Estradiol 1.53mg/dose transdermal spray	Estradiol 1.53mg/dose transdermal spray	Estradiol hemihydrate	1.530mg	Spray	Transdermal	6040101	3000
13829441000033113	39601811000001101	Ethinylestradiol 50microgram gastro-resistant tablets	Ethinylestradiol 50microgram gastro-resistant tablets	Ethinylestradiol	50.000microgram	Gastro-resistant tablet	Oral	6040101	1
13910141000033113	39964911000001106	Estradiol 1mg / Progesterone 100mg capsules	Estradiol 1mg / Progesterone 100mg capsules	Estradiol/ Progesterone	1.000mg + 100.000mg	Capsule	Oral	6040101	30
