"MedCodeId" "Observations" "OriginalReadCode" "CleansedReadCode" "Term" "SnomedCTConceptId" "SnomedCTDescriptionId" "Release" "EmisCodeCategoryId"
"34" 301511014 100000 "H33z" "H33z.00" "Asthma unspecified" 195967001 301485011 NA 32
"35" 338238011 10000 "H334" "H334.00" "Brittle asthma" 225057002 338238011 NA 32
"36" 350148014 20000 "H331-1" "H331.11" "Late onset asthma" 233679003 350148014 NA 32
"37" 350149018 10000 "H33z2" "H33z200" "Late-onset asthma" 233679003 350148014 NA 32
"38" 350151019 2000 "H3301-1" "H330111" "Acute exacerbation of allergic asthma" 708093000 3083642013 NA 32
"39" 350152014 6000 "H33zz-2" "H33zz12" "Allergic asthma NEC" 389145006 1483199016 NA 32
"40" 350153016 10000 "H3300-1" "H330011" "Hay fever with asthma" 233683003 350153016 NA 32
"41" 350154010 20000 "H330-4" "H330.14" "Pollen asthma" 233683003 350154010 NA 32
"42" 350156012 500 "H3311-1" "H331111" "Acute exacerbation of intrinsic asthma" 708094006 3032866010 NA 32
"43" 396114013 300000 "H331" "H331.00" "Intrinsic asthma" 266361008 396114013 NA 32
"44" 396118011 10000 "H33z0" "H33z000" "Life threatening acute exacerbation of asthma" 734904007 3511368015 NA 32
"45" 396119015 200000 "H33z1" "H33z100" "Asthma attack" 708038006 3032734012 NA 32
"46" 396120014 800000 "H33zz" "H33zz00" "Asthma NOS" 195967001 301485011 NA 32
"47" 405054019 30000 "9OJA-1" "9OJA.11" "Asthma monitored" 270442000 405054019 NA 37
"48" 405055018 5000000 "9OJA" "9OJA.00" "Asthma monitoring check done" 270442000 405055018 NA 37
"49" 409865018 10000 "H33z1-1" "H33z111" "Asthma attack NOS" 708038006 3032734012 NA 32
"50" 411877015 2000000 "663-1" "663..11" "Asthma monitoring" 275908000 411877015 NA 1
"51" 419211018 2000000 "H333" "H333.00" "Acute exacerbation of asthma" 708038006 3032747019 NA 32
"52" 456163018 70000 "663j" "663j.00" "Asthma - currently active" 312453004 456163018 NA 1
"53" 1208954011 2000000 "663t" "663t.00" "Asthma causes daytime symptoms 1 to 2 times per month" 370202007 1208954011 NA 1
"54" 1208955012 2000000 "663u" "663u.00" "Asthma causes daytime symptoms 1 to 2 times per week" 370203002 1208955012 NA 1
"55" 1208956013 2000000 "663v" "663v.00" "Asthma causes daytime symptoms most days" 370204008 1208956013 NA 1
"56" 1208957016 200000 "663r" "663r.00" "Asthma causes night symptoms 1 to 2 times per month" 370205009 1208957016 NA 1
"57" 1208958014 30000 "663x" "663x.00" "Asthma limits walking on the flat" 370206005 1208958014 NA 1
"58" 1208959018 200000 "663w" "663w.00" "Asthma limits walking up hills or stairs" 370207001 1208959018 NA 1
"59" 1208960011 5000000 "663s" "663s.00" "Asthma never causes daytime symptoms" 370208006 1208960011 NA 1
"60" 1208962015 2000000 "663y" "663y.00" "Number of asthma exacerbations in past year" 366874008 490425015 NA 1
"61" 1208969012 100000 "663V1" "663V100" "Mild asthma" 370218001 1208969012 NA 1
"62" 1208970013 60000 "663V2" "663V200" "Moderate asthma" 370219009 1208970013 NA 1
"63" 1208971012 60000 "663V0" "663V000" "Occasional asthma" 370220003 1208971012 NA 1
"64" 1208972017 20000 "663V3" "663V300" "Severe asthma" 370221004 1208972017 NA 1
"65" 1208976019 100000 "663p" "663p.00" "Asthma treatment compliance unsatisfactory" 370225008 1208976019 NA 1
"66" 1208977011 800000 "663n" "663n.00" "Asthma treatment compliance satisfactory" 370226009 1208977011 NA 1
"67" 1212342016 1000000 "663q" "663q.00" "Asthma daytime symptoms" 373899003 1212342016 NA 1
"68" 1483199016 50000 "H330-1" "H330.11" "Allergic asthma" 389145006 1483199016 NA 32
"69" 1484905010 30000 "66Y5" "66Y5.00" "Change in asthma management plan" 390872009 1484905010 NA 1
"70" 1484910014 200000 "66Y9" "66Y9.00" "Step up change in asthma management plan" 390877003 1484910014 NA 1
"71" 1484911013 100000 "66YA" "66YA.00" "Step down change in asthma management plan" 390878008 1484911013 NA 1
"72" 1484953014 200000 "66YC" "66YC.00" "Absent from work or school due to asthma" 390921001 1484953014 NA 1
"73" 1488421017 10000000 "66YJ" "66YJ.00" "Asthma annual review" 394700004 1488421017 NA 1
"74" 1488422012 1000000 "66YK" "66YK.00" "Asthma follow-up" 394701000 1488422012 NA 1
"75" 1488436019 6000000 "8B3j" "8B3j.00" "Asthma medication review" 394720003 1488436019 NA 32
"76" 1488722011 100000 "66YP" "66YP.00" "Asthma night-time symptoms" 395022009 1488722011 NA 1
"77" 1780378019 2000000 "66YQ" "66YQ.00" "Asthma monitoring by nurse" 401182001 1780378019 NA 1
"78" 1780379010 900000 "66YR" "66YR.00" "Asthma monitoring by doctor" 401183006 1780379010 NA 1
"79" 1780388018 80000 "1O2" "1O2..00" "Asthma confirmed" 401193004 1780388018 NA 27
"80" 2474332015 200000 "8CR0" "8CR0.00" "Asthma clinical management plan" 736056000 3516216012 NA 32
"81" 145961000006117 30000 "H33z0-1" "H33z011" "Acute severe exacerbation of asthma" 708090002 3033029011 NA 32
"82" 149741000006116 2 "H35y6" "H35y600" "Sequoiosis (red-cedar asthma)" 23315001 39131015 NA 32
"83" 305611000000115 100000 "1786" "1786.00" "Asthma trigger: animals" 201051000000101 636211000000110 NA 27
"84" 536221000000110 80000 "388t" "388t.00" "Royal College of Physicians asthma assessment" 302331000000106 536221000000110 NA 3
"85" 636231000000119 200000 "1788" "1788.00" "Asthma trigger - cold air" 201191000000108 305961000000113 NA 27
"86" 636251000000114 80000 "1785" "1785.00" "Asthma trigger - damp" 201201000000105 305981000000116 NA 27
"87" 636271000000117 60000 "1784" "1784.00" "Asthma trigger - emotion" 201211000000107 306001000000115 NA 27
"88" 636291000000118 300000 "1789" "1789.00" "Asthma trigger - respiratory infection" 201031000000108 305571000000112 NA 27
"89" 636311000000117 100000 "1787" "1787.00" "Asthma trigger - seasonal" 201041000000104 305591000000111 NA 27
"90" 655601000006113 400000 "173A" "173A.00" "Exercise-induced asthma" 31387002 52467014 NA 32
"91" 655611000006111 20000 "H33zz-1" "H33zz11" "Exercise induced asthma" 31387002 52467014 NA 32
"92" 660351000006118 400000 "H330" "H330.00" "Allergic atopic asthma" 389145006 1493645010 NA 32
"93" 797211000006117 30000 "8791" "8791.00" "Further asthma - drug prevention" 182724005 282486014 NA 32
"94" 817361000006114 60000 "H330-3" "H330.13" "Hay fever with asthma" 233683003 350153016 NA 32
"95" 929091000006111 900 "1780" "1780.00" "Aspirin-induced asthma" 407674008 2159273015 NA 5
"96" 983771000006118 200 "173d" "173d.00" "Work aggravated asthma" 57607007 95786019 NA 27
"97" 1118291000000110 2000000 "38DL" "38DL.00" "Asthma control test score" 443117005 2839948011 NA 3
"98" 1139011000000112 100000 "38DT" "38DT.00" "Asthma Control Questionnaire score" 763077003 3637798014 NA 3
"99" 1139051000000111 300 "38DV" "38DV.00" "Mini AQLQ (Asthma Quality of Life Questionnaire) score" 763695004 3643315013 NA 3
"100" 1139131000000117 1000 "9NNX" "9NNX.00" "Under care of asthma specialist nurse" 698509001 2974554010 NA 37
"101" 1176461000000114 500000 "8CMA0" "8CMA000" "Patient has a written asthma personal action plan" 527171000000103 1176461000000114 NA 32
"102" 1176501000000114 60000 "679J0" "679J000" "Health education - asthma self management" 527191000000104 1176501000000114 NA 17
"103" 1176541000000112 30000 "679J1" "679J100" "Health education - structured asthma discussion" 527211000000100 1176541000000112 NA 17
"104" 1722421000000110 300000 "66Yq" "66Yq.00" "Asthma causes night time symptoms 1 to 2 times per week" 771901000000100 1722421000000110 NA 1
"105" 1722501000000119 100000 "66Yr" "66Yr.00" "Asthma causes symptoms most nights" 771941000000102 1722501000000119 NA 1
"106" 1722581000000112 100000 "663P0" "663P000" "Asthma limits activities 1 to 2 times per month" 771981000000105 1722581000000112 NA 1
"107" 1722651000000119 100000 "663P1" "663P100" "Asthma limits activities 1 to 2 times per week" 772011000000107 1722651000000119 NA 1
"108" 1722731000000116 100000 "663P2" "663P200" "Asthma limits activities most days" 772051000000106 1722731000000116 NA 1
"109" 1739131000000111 100000 "178A" "178A.00" "Asthma trigger - airborne dust" 340891000000106 1739131000000111 NA 27
"110" 1739141000000119 200000 "178B" "178B.00" "Asthma trigger - exercise" 340901000000107 1739141000000119 NA 27
"111" 1739151000000116 200000 "1781" "1781.00" "Asthma trigger - pollen" 340911000000109 1739151000000116 NA 27
"112" 1739161000000118 40000 "1782" "1782.00" "Asthma trigger - tobacco smoke" 340921000000103 1739161000000118 NA 27
"113" 1739171000000113 60000 "1783" "1783.00" "Asthma trigger - warm air" 340931000000101 1739171000000113 NA 27
"114" 1739871000006114 30000 "679J2" "679J200" "Health education - structured patient focused asthma discussion" 527231000000108 1176581000000116 NA 17
"115" 1753401000006117 500000 "66Yp" "66Yp.00" "Asthma review using Royal College of Physicians three questions" 754061000000100 1658781000000113 NA 1
"116" 1766051000006114 100000 "388t0" "388t000" "Royal College of Physicians asthma assessment three questions score" 448003001 2900370011 NA 32
"117" 1768981000000110 300000 "66Ys" "66Ys.00" "Asthma never causes night symptoms" 473391009 2956621015 NA 1
"118" 1811901000006116 30000 "66Yu" "66Yu.00" "Number of days absent from school due to asthma in past 6 months" 811151000000105 2116171000000118 NA 1
"119" 2115631000000117 600000 "661N1" "661N100" "Asthma self-management plan review" 810901000000102 2115631000000117 NA 1
"120" 2117771000000117 2000000 "661M1" "661M100" "Asthma self-management plan agreed" 811921000000103 2117771000000117 NA 1
"121" 2240591000000119 10000 "H335" "H335.00" "Chronic asthma with fixed airflow obstruction" 866881000000101 2240591000000119 NA 32
