prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
77306	23864311000001100	2	21346021	Nandovar XL 80mg tablets (Sandoz Ltd)	Fluvastatin sodium	80mg	Modified-release tablet	Oral	02120400	Statins	July 2019
10172	414178007	42284	89246020	Simvastatin 40mg / Ezetimibe 10mg tablets	Simvastatin/Ezetimibe	40mg + 10mg	Tablet	Oral	02120200/02120400	Ezetimibe/Statins	February 2009
74085	14765111000001100	9	02586020	Lescol 40mg capsules (Sigma Pharmaceuticals Plc)	Fluvastatin sodium	40mg	Capsule	Oral	02120400	Statins	December 2018
25	319997009	22417746	72488020	Simvastatin 20mg tablets	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2009
82951	15004411000001103	1	76231020	Fenofibrate micronised 67mg capsules (Accord Healthcare Ltd)	Fenofibrate micronised	67mg	Capsule	Oral	02120300	Fibrates	February 2021
51233	4574411000001101	0	02479020	Simvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	January 2013
50963	20494711000001108	187	41328020	Atorvastatin 40mg tablets (Teva UK Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	January 2013
63074	11410611000001104	0	68446020	Pravastatin 20mg tablets (PLIVA Pharma Ltd)	Pravastatin sodium	20mg	Tablet	Oral	02120400	Statins	May 2015
9920	4896511000001103	163595	87027020	Simvador 20mg tablets (Dexcel-Pharma Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2009
77782	36566711000001104	0	85107021	Atorvastatin 40mg tablets (Bristol Laboratories Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	August 2019
81205	37798511000001109	0	90044021	Rosuvastatin 20mg tablets (DE Pharmaceuticals)	Rosuvastatin calcium	20mg	Tablet	Oral	02120400	Statins	July 2020
44650	11551711000001102	53	66659020	Simvastatin 40mg tablets (Dexcel-Pharma Ltd)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	February 2011
49587	9804011000001103	0	71634020	Simvastatin 80mg tablets (Almus Pharmaceuticals Ltd)	Simvastatin	80mg	Tablet	Oral	02120400	Statins	January 2013
17683	756111000001109	10861	81729020	Lipitor 80mg tablets (Viatris UK Healthcare Ltd)	Atorvastatin calcium trihydrate	80mg	Tablet	Oral	02120400	Statins	February 2009
62979	8099711000001100	0	02558020	Pravastatin 40mg tablets (Kent Pharma (UK) Ltd)	Pravastatin sodium	40mg	Tablet	Oral	02120400	Statins	April 2015
83832	39251111000001100	0	96985021	Simvastatin 20mg tablets (Medihealth (Northern) Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	May 2021
57234	19618711000001103	0	13977020	Omacor capsules (DE Pharmaceuticals)	Eicosapentaenoic acid/Docosahexaenoic acid	460mg + 380mg	Capsule	Oral	02120600	Omega-3 Fatty Acid Compounds	September 2013
52953	16066911000001102	1	02506020	Simvastatin 20mg tablets (Bristol Laboratories Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	January 2013
7551	4994211000001103	7646	87157020	Niaspan 1g modified-release tablets (Abbott Laboratories Ltd)	Nicotinic acid	1gram	Modified-release tablet	Oral	02120500	Nicotinic Acid Group	February 2009
602	39020211000001107	916574	64208020	Bezafibrate 400mg modified-release tablets	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	February 2009
23153	68411000001107	251	64747020	Liparol 400 XL tablets (Ashbourne Pharmaceuticals Ltd)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	February 2009
70580	30738011000001103	1262	54195021	Evolocumab 140mg/1ml solution for injection pre-filled disposable devices	Evolocumab	140mg/1ml	Solution for injection	Subcutaneous	02120700	Other Lipid-Regulating Products	October 2017
84810	16269211000001107	4	02608020	Atorvastatin 10mg tablets (Mawdsley-Brooks & Company Ltd)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	October 2021
2215	383511000001102	19164	58844020	Lopid 300mg capsules (Pfizer Ltd)	Gemfibrozil	300mg	Capsule	Oral	02120300	Fibrates	February 2009
67157	17905511000001105	0	02449020	Fenofibrate micronised 200mg capsules (Phoenix Healthcare Distribution Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	August 2016
77358	5429711000001107	1343	02481020	Zocor 10mg tablets (Waymade Healthcare Plc)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	August 2019
8366	138055001000027101	3015	66221020	Probucol 250mg tablet	Probucol	250mg	Tablets	Oral	02120700	Other Lipid-Regulating Products	February 2009
3411	643911000001108	194129	83953020	Lipitor 10mg tablets (Viatris UK Healthcare Ltd)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	February 2009
45235	4580111000001107	8	66205020	Simvastatin 20mg tablets (Sandoz Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	May 2011
87497	37140311000001102	0	86940021	Simvastatin 20mg tablets (Mawdsley-Brooks & Company Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	January 2023
78993	23596111000001106	0	20177021	Fluvastatin 80mg modified-release tablets (Waymade Healthcare Plc)	Fluvastatin sodium	80mg	Modified-release tablet	Oral	02120400	Statins	December 2019
802	4896711000001108	413975	87029020	Simvador 40mg tablets (Dexcel-Pharma Ltd)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	February 2009
54992	14158711000001109	30	35413020	Atorvastatin 10mg/5ml oral suspension	Atorvastatin calcium trihydrate	2mg/1ml	Oral suspension	Oral	02120400	Statins	May 2013
85419	29920711000001108	0	52699021	Ciprofibrate 100mg tablets (Advanz Pharma)	Ciprofibrate	100mg	Tablet	Oral	02120300	Fibrates	January 2022
88306	41139011000001108	0	04045022	Atorvastatin 10mg tablets (Amarox Ltd)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	June 2023
72308	14037111000001100	0	02573020	Fluvastatin 20mg capsules (Alliance Healthcare (Distribution) Ltd)	Fluvastatin sodium	20mg	Capsule	Oral	02120400	Statins	June 2018
4928	2952311000001100	35658	86195020	Lipantil Micro 200 capsules (Viatris UK Healthcare Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	February 2009
5985	378111000001106	4996	79882020	Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)	Fluvastatin sodium	80mg	Modified-release tablet	Oral	02120400	Statins	February 2009
57329	16091011000001105	12	36882020	Simvastatin 25mg/5ml oral suspension	Simvastatin	5mg/1ml	Oral suspension	Oral	02120400	Statins	October 2013
53676	13763111000001103	0	66326020	Simvastatin 20mg tablets (Tillomed Laboratories Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2013
48058	4465011000001107	0	69800020	Simvastatin 10mg tablets (Ranbaxy (UK) Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	November 2012
34814	4480511000001107	23	65905020	Simvastatin 20mg tablets (Wockhardt UK Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2009
2955	484211000001108	54466	83955020	Lipitor 40mg tablets (Viatris UK Healthcare Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	February 2009
82561	10507311000001106	48	02470020	Supralip 160mg tablets (Waymade Healthcare Plc)	Fenofibrate micronised	160mg	Tablet	Oral	02120300	Fibrates	January 2021
81602	35031911000001104	0	79178021	Rosuvastatin 10mg tablets (A A H Pharmaceuticals Ltd)	Rosuvastatin calcium	10mg	Tablet	Oral	02120400	Statins	September 2020
34353	4464211000001103	154	66045020	Simvastatin 40mg tablets (Viatris UK Healthcare Ltd)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	February 2009
31221	51311000001102	81	61400020	Bezafibrate 200mg tablets (Viatris UK Healthcare Ltd)	Bezafibrate	200mg	Tablet	Oral	02120300	Fibrates	February 2009
64968	30097311000001108	0	53343021	Simvastatin 10mg tablets (DE Pharmaceuticals)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	December 2015
7374	232011000001102	103212	83954020	Lipitor 20mg tablets (Viatris UK Healthcare Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	February 2009
55444	20577411000001107	0	41907020	Atorvastatin 40mg tablets (Zentiva Pharma UK Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	May 2013
57489	16034411000001109	0	76919020	Ciprofibrate 100mg tablets (Zentiva Pharma UK Ltd)	Ciprofibrate	100mg	Tablet	Oral	02120300	Fibrates	October 2013
85909	13720811000001105	0	02442020	Fenofibrate micronised 200mg capsules (Ranbaxy (UK) Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	April 2022
18098	236245001000027102	359	87159020	Nicotinic acid 375mg + 500mg + 750mg Modified-release tablet	Nicotinic Acid	375mg + 500mg + 750mg	Modified-Release Tablet	Oral	02120500	Nicotinic Acid Group	February 2009
1223	535011000001102	52601	73789020	Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Pravastatin sodium	40mg	Tablet	Oral	02120400	Statins	February 2009
41396	9157011000001106	82	63947020	Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	March 2010
5775	39733211000001101	4220470	81727020	Atorvastatin 80mg tablets	Atorvastatin calcium trihydrate	80mg	Tablet	Oral	02120400	Statins	February 2009
9491	319990006	61640	86190020	Fenofibrate micronised 67mg capsules	Fenofibrate micronised	67mg	Capsule	Oral	02120300	Fibrates	February 2009
8706	457811000001109	41427	56989020	Modalim 100mg tablets (Sanofi)	Ciprofibrate	100mg	Tablet	Oral	02120300	Fibrates	February 2009
62429	13831511000001104	0	02616020	Atorvastatin 20mg tablets (DE Pharmaceuticals)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	February 2015
60607	22613511000001107	0	16641021	Atorvastatin 80mg tablets (DE Pharmaceuticals)	Atorvastatin calcium trihydrate	80mg	Tablet	Oral	02120400	Statins	July 2014
57763	10769311000001104	0	10666020	Rosuvastatin 10mg tablets (Waymade Healthcare Plc)	Rosuvastatin calcium	10mg	Tablet	Oral	02120400	Statins	October 2013
83279	35031711000001101	0	79196021	Rosuvastatin 5mg tablets (A A H Pharmaceuticals Ltd)	Rosuvastatin calcium	5mg	Tablet	Oral	02120400	Statins	March 2021
54266	8722111000001104	25	20745020	Simvastatin 20mg/5ml oral suspension	Simvastatin	4mg/1ml	Oral suspension	Oral	02120400	Statins	March 2013
58655	23304211000001106	6487	17858021	Omega 3-acid-ethyl esters 1000mg capsules (Glenmark Pharmaceuticals Europe Ltd)	Eicosapentaenoic acid/Docosahexaenoic acid	460mg + 380mg	Capsule	Oral	02120600	Omega-3 Fatty Acid Compounds	January 2014
47935	204355001000027100	0	77455020	Fenofibrate 200mg Capsule (Teva UK Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	October 2012
818	242705001000027101	12508	90773020	Simvastatin 20mg/5ml oral solution sugar free	Simvastatin	20mg/5ml	Oral Suspension Sugar-Free	Oral	02120400	Statins	February 2009
82528	10784611000001107	49	02458020	Lipantil Micro 267 capsules (Waymade Healthcare Plc)	Fenofibrate micronised	267mg	Capsule	Oral	02120300	Fibrates	January 2021
34316	4380911000001108	632	65879020	Simvastatin 20mg tablets (Teva UK Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2009
64503	5341511000001107	822	02405020	Bezalip Mono 400mg modified-release tablets (Waymade Healthcare Plc)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	October 2015
59278	14036511000001107	0	75832020	Fluvastatin 20mg capsules (Zentiva Pharma UK Ltd)	Fluvastatin sodium	20mg	Capsule	Oral	02120400	Statins	April 2014
58110	20577211000001108	8	41915020	Atorvastatin 20mg tablets (Zentiva Pharma UK Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	December 2013
56016	19719611000001109	558	38787020	Lipitor 20mg chewable tablets (Viatris UK Healthcare Ltd)	Atorvastatin calcium trihydrate	20mg	Chewable tablet	Oral	02120400	Statins	August 2013
58394	20508111000001109	4	41348020	Atorvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	December 2013
64180	28918311000001104	3	47995021	Simvastatin 10mg tablets (Crescent Pharma Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	September 2015
51085	19733211000001103	3	38509020	Simvastatin 10mg tablets (Medreich Plc)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	January 2013
8082	319964008	44311	62909020	Gemfibrozil 600mg tablets	Gemfibrozil	600mg	Tablet	Oral	02120300	Fibrates	February 2009
1217	168615001000027108	18935	70564020	Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	February 2009
17813	61415001000027108	937	55691020	Nicotinic acid 100mg Tablet	Nicotinic Acid	100mg	Tablet	Oral	02120500	Nicotinic Acid Group	February 2009
16186	9310611000001103	3010	89255020	Inegy 10mg/80mg tablets (Organon Pharma (UK) Ltd)	Simvastatin/Ezetimibe	80mg + 10mg	Tablet	Oral	02120200/02120400	Ezetimibe/Statins	February 2009
44528	17305411000001100	10	77364020	Simvastatin 20mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)	Simvastatin	4mg/1ml	Oral suspension	Oral	02120400	Statins	February 2011
47948	13762911000001107	0	66323020	Simvastatin 10mg tablets (Tillomed Laboratories Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	November 2012
52676	8722011000001100	21	20743020	Simvastatin 10mg/5ml oral suspension	Simvastatin	2mg/1ml	Oral suspension	Oral	02120400	Statins	January 2013
50790	20448411000001102	160	41343020	Atorvastatin 20mg tablets (Dexcel-Pharma Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	January 2013
66087	16556711000001105	189	02568020	Modalim 100mg tablets (Mawdsley-Brooks & Company Ltd)	Ciprofibrate	100mg	Tablet	Oral	02120300	Fibrates	May 2016
58635	13836411000001109	0	02410020	Bezalip Mono 400mg modified-release tablets (DE Pharmaceuticals)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	January 2014
83020	38931511000001109	1119	95134021	Bempedoic acid 180mg tablets	Bempedoic acid	180mg	Tablet	Oral	02120700	Other Lipid-Regulating Products	February 2021
65181	30097711000001107	0	53345021	Simvastatin 40mg tablets (DE Pharmaceuticals)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	January 2016
52812	15171911000001107	369	02505020	Simvastatin 20mg tablets (Sigma Pharmaceuticals Plc)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	January 2013
39060	11551511000001107	62	66656020	Simvastatin 20mg tablets (Dexcel-Pharma Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	February 2009
51715	15188311000001107	0	02489020	Simvastatin 10mg tablets (Sigma Pharmaceuticals Plc)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	January 2013
56426	21393711000001109	978	45222020	Teromeg 1000mg capsules (Advanz Pharma)	Eicosapentaenoic acid/Docosahexaenoic acid	460mg + 380mg	Capsule	Oral	02120600	Omega-3 Fatty Acid Compounds	August 2013
10183	240715001000027105	21765	89260020	Simvastatin 40mg with ezetimibe 10mg tablet	Simvastatin/Ezetimibe	40mg + 10mg	Tablets	Oral	02120200/02120400	Ezetimibe/Statins	February 2009
379	39693011000001106	339646	75344020	Fluvastatin 20mg capsules	Fluvastatin sodium	20mg	Capsule	Oral	02120400	Statins	February 2009
66564	23646011000001108	0	21351021	Bezafibrate 400mg modified-release tablets (Phoenix Healthcare Distribution Ltd)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	June 2016
50272	20978811000001102	52	42161020	Atorvastatin 40mg tablets (Upjohn UK Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	January 2013
70987	20982011000001104	0	43827020	Atorvastatin 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	December 2017
53822	16066711000001104	0	02490020	Simvastatin 10mg tablets (Bristol Laboratories Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	February 2013
11815	240705001000027108	11039	89258020	Simvastatin 20mg with ezetimibe 10mg tablet	Simvastatin/Ezetimibe	20mg + 10mg	Tablets	Oral	02120200/02120400	Ezetimibe/Statins	February 2009
68023	20496111000001100	0	41340020	Atorvastatin 10mg tablets (Aspire Pharma Ltd)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	October 2016
86784	36491811000001107	0	83289021	Atorvastatin 80mg tablets (Xiromed)	Atorvastatin calcium trihydrate	80mg	Tablet	Oral	02120400	Statins	September 2022
76985	16036711000001107	5	36777020	Nicotinic acid 50mg capsules	Nicotinic acid	50mg	Capsule	Oral	02120500	Nicotinic Acid Group	July 2019
70693	29771911000001107	0	52199021	Atorvastatin 10mg tablets (Sigma Pharmaceuticals Plc)	Atorvastatin calcium trihydrate	10mg	Tablet	Oral	02120400	Statins	November 2017
7540	2957911000001102	24337	86196020	Lipantil Micro 267 capsules (Viatris UK Healthcare Ltd)	Fenofibrate micronised	267mg	Capsule	Oral	02120300	Fibrates	February 2009
40340	4380611000001102	111	65874020	Simvastatin 10mg tablets (Teva UK Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	September 2009
9316	226235001000027102	7272	84283020	Lipobay 200microgram Tablet (Bayer Plc)	Cerivastatin sodium	200microgram	Tablet	Oral	02120400	Statins	February 2009
56248	14198211000001106	0	02618020	Atorvastatin 20mg tablets (Sigma Pharmaceuticals Plc)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	August 2013
1324	66515001000027104	40388	56377020	Bezalip 200mg Tablet (Roche Products Ltd)	Bezafibrate	200mg	Tablet	Oral	02120300	Fibrates	February 2009
66780	32234211000001101	47	65934021	Fenofibrate 145mg / Simvastatin 20mg tablets	Simvastatin/Fenofibrate	20mg + 145mg	Tablet	Oral	02120300/02120400	Fibrates/Statins	July 2016
1215	168635001000027102	6533	70567020	Fenofibrate 100mg Capsule	Fenofibrate	100mg	Capsule	Oral	02120300	Fibrates	February 2009
79517	35035711000001104	2	79198021	Rosuvastatin 5mg tablets (Sandoz Ltd)	Rosuvastatin calcium	5mg	Tablet	Oral	02120400	Statins	January 2020
86365	40573211000001102	122	01785022	Atorvastatin 20mg/5ml oral suspension sugar free	Atorvastatin calcium trihydrate	4mg/1ml	Oral suspension	Oral	02120400	Statins	July 2022
55452	17785511000001104	0	02508020	Simvastatin 20mg tablets (Phoenix Healthcare Distribution Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	May 2013
64984	23916211000001107	0	21748021	Fenofibrate micronised 160mg tablets (Phoenix Healthcare Distribution Ltd)	Fenofibrate micronised	160mg	Tablet	Oral	02120300	Fibrates	December 2015
50788	20978111000001109	154	42167020	Atorvastatin 20mg tablets (Upjohn UK Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	January 2013
49062	4574611000001103	0	02496020	Simvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	January 2013
49609	155015001000027107	22	68507020	Bezafibrate 400mg Modified-release tablet (Sandoz Ltd)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	January 2013
75391	34682311000001101	51	78125021	Atorvastatin 80mg/5ml oral suspension	Atorvastatin calcium trihydrate	16mg/1ml	Oral suspension	Oral	02120400	Statins	March 2019
76919	23647911000001105	0	21352021	Ciprofibrate 100mg tablets (Phoenix Healthcare Distribution Ltd)	Ciprofibrate	100mg	Tablet	Oral	02120300	Fibrates	July 2019
75622	21099411000001102	0	44118020	Atorvastatin 60mg tablets (A A H Pharmaceuticals Ltd)	Atorvastatin calcium trihydrate	60mg	Tablet	Oral	02120400	Statins	April 2019
2662	2838911000001109	81985	59580020	MaxEPA 1g capsules (Seven Seas Ltd)	Docosahexaenoic acid/Eicosapentaenoic acid	115mg + 170mg	Capsule	Oral	02120600	Omega-3 Fatty Acid Compounds	February 2009
77472	16198611000001101	107	02588020	Lescol 40mg capsules (Lexon (UK) Ltd)	Fluvastatin sodium	40mg	Capsule	Oral	02120400	Statins	August 2019
52257	18468011000001104	2	02510020	Simvastatin 20mg tablets (Accord Healthcare Ltd)	Simvastatin	20mg	Tablet	Oral	02120400	Statins	January 2013
51166	19733611000001101	0	38511020	Simvastatin 40mg tablets (Medreich Plc)	Simvastatin	40mg	Tablet	Oral	02120400	Statins	January 2013
53415	19197411000001105	0	02495020	Simvastatin 10mg tablets (Milpharm Ltd)	Simvastatin	10mg	Tablet	Oral	02120400	Statins	January 2013
68827	33556611000001108	0	70626021	Atorvastatin 20mg tablets (Viatris UK Healthcare Ltd)	Atorvastatin calcium trihydrate	20mg	Tablet	Oral	02120400	Statins	February 2017
8104	319984007	12481	68083020	Acipimox 250mg capsules	Acipimox	250mg	Capsule	Oral	02120500	Nicotinic Acid Group	February 2009
73384	23977311000001109	0	21745021	Fenofibrate micronised 200mg capsules (DE Pharmaceuticals)	Fenofibrate micronised	200mg	Capsule	Oral	02120300	Fibrates	October 2018
56607	21850811000001100	0	47204020	Pravastatin 20mg tablets (Waymade Healthcare Plc)	Pravastatin sodium	20mg	Tablet	Oral	02120400	Statins	August 2013
79426	36566911000001102	0	85098021	Atorvastatin 80mg tablets (Bristol Laboratories Ltd)	Atorvastatin calcium trihydrate	80mg	Tablet	Oral	02120400	Statins	December 2019
52755	8027311000001103	0	02548020	Pravastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)	Pravastatin sodium	20mg	Tablet	Oral	02120400	Statins	January 2013
55971	22024211000001105	9988	47722020	Prestylon 1g capsules (Teva UK Ltd)	Eicosapentaenoic acid/Docosahexaenoic acid	460mg + 380mg	Capsule	Oral	02120600	Omega-3 Fatty Acid Compounds	August 2013
78147	11410411000001102	0	68442020	Pravastatin 10mg tablets (PLIVA Pharma Ltd)	Pravastatin sodium	10mg	Tablet	Oral	02120400	Statins	October 2019
64810	22202111000001109	0	14786021	Atorvastatin 40mg tablets (Phoenix Healthcare Distribution Ltd)	Atorvastatin calcium trihydrate	40mg	Tablet	Oral	02120400	Statins	November 2015
42801	103175001000027109	31	61483020	Bezafibrate xl 400mg Modified-release tablet (Generics (UK) Ltd)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	July 2010
75134	4464511000001100	144	66048020	Simvastatin 80mg tablets (Viatris UK Healthcare Ltd)	Simvastatin	80mg	Tablet	Oral	02120400	Statins	March 2019
52814	3700511000001103	2	02404020	Bezafibrate 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)	Bezafibrate	400mg	Modified-release tablet	Oral	02120300	Fibrates	January 2013
