prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
59338	13078911000001100	2	33901020	Prednisolone 1mg/5ml oral solution	Prednisolone	200microgram/1ml	Oral solution	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	April 2014
66914	32611811000001105	9080	67856021	Prednisolone 1mg gastro-resistant tablets	Prednisolone	1mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	July 2016
65626	13078611000001106	6	33899020	Prednisolone 10mg/5ml oral suspension	Prednisolone	2mg/1ml	Oral suspension	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	March 2016
69568	32652511000001109	62	68380021	Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	May 2017
19141	392511000001108	5192	61726020	Prednisolone 5mg soluble tablets (Advanz Pharma)	Prednisolone sodium phosphate	5mg	Soluble tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
63066	28808611000001100	76172	46603021	Prednisolone 2.5mg tablets	Prednisolone	2.5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	May 2015
70603	28937511000001104	8	48867021	Prednisolone 5mg soluble tablets (Focus Pharmaceuticals Ltd)	Prednisolone sodium phosphate	5mg	Soluble tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	November 2017
55480	17999311000001104	1	06621020	Prednisolone 2.5mg gastro-resistant tablets (Phoenix Labs Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	June 2013
66550	255211000001101	0	06622020	Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	June 2016
56144	19738311000001103	563	39413020	Budenofalk 9mg gastro-resistant granules sachets (Dr. Falk Pharma UK Ltd)	Budesonide	9mg	Gastro-resistant granules	Oral	01050200	Corticosteroids In Chronic Bowel Problems	August 2013
54118	13079611000001102	3	33915020	Prednisolone 25mg/5ml oral suspension	Prednisolone	5mg/1ml	Oral suspension	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	March 2013
61132	14786411000001103	0	06605020	Prednisolone 1mg tablets (Boston Healthcare Ltd)	Prednisolone	1mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	September 2014
955	39722711000001103	673594	74386020	Prednisolone 5mg soluble tablets	Prednisolone sodium phosphate	5mg	Soluble tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
34461	380011000001100	220	57098020	Prednisolone 2.5mg gastro-resistant tablets (Accord Healthcare Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
21417	876911000001107	252	50409020	Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
557	325442004	1599459	71488020	Prednisolone 2.5mg gastro-resistant tablets	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
79091	13078311000001101	1	33895020	Prednisolone 1.5mg/5ml oral solution	Prednisolone	300microgram/1ml	Oral solution	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	December 2019
58000	9807911000001105	265	71574020	Prednisolone 5mg tablets (Almus Pharmaceuticals Ltd)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	December 2013
62656	31195001000027103	1	51888020	Prednisone 5mg Tablet (Hillcross Pharmaceuticals Ltd)	Prednisone	5mg	Tablet	Oral	01050200/06030200	Corticosteroids In Chronic Bowel Problems/Glucocorticoid Therapy	March 2015
3898	35912611000001102	35552	81072020	Budesonide 3mg gastro-resistant modified-release capsules	Budesonide	3mg	Modified-release capsule	Oral	01050200	Corticosteroids In Chronic Bowel Problems	February 2009
29333	85511000001101	1558	50400020	Prednisolone 5mg tablets (Accord Healthcare Ltd)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
75001	30114811000001104	0	53564021	Prednisolone 1mg tablets (DE Pharmaceuticals)	Prednisolone	1mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2019
59283	22519711000001105	6	16433021	Dilacort 2.5mg gastro-resistant tablets (Auden McKenzie (Pharma Division) Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	April 2014
28375	858811000001104	886	50410020	Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
58384	9807711000001108	146	71571020	Prednisolone 1mg tablets (Almus Pharmaceuticals Ltd)	Prednisolone	1mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	December 2013
73678	30114311000001108	0	53567021	Prednisolone 5mg gastro-resistant tablets (DE Pharmaceuticals)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	November 2018
68497	22452711000001102	0	15684021	Prednisolone 2.5mg gastro-resistant tablets (Waymade Healthcare Plc)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	December 2016
78144	17917211000001102	0	06635020	Prednisolone 25mg tablets (Phoenix Healthcare Distribution Ltd)	Prednisolone	25mg	Tablet	Oral	01050200/03020000/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	October 2019
64557	29094211000001109	1656	49011021	Cortiment 9mg modified-release tablets (Ferring Pharmaceuticals Ltd)	Budesonide	9mg	Modified-release tablet	Oral	01050200	Corticosteroids In Chronic Bowel Problems	October 2015
76020	779211000001109	0	06616020	Prednisolone 2.5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)	Prednisolone	2.5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	May 2019
6095	317446001	44043	83358020	Budesonide 3mg gastro-resistant capsules	Budesonide	3mg	Gastro-resistant capsule	Oral	01050200	Corticosteroids In Chronic Bowel Problems	February 2009
74493	34035411000001102	2	73875021	Prednisolone 5mg soluble tablets (Accord Healthcare Ltd)	Prednisolone sodium phosphate	5mg	Soluble tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	January 2019
58234	429995001	11	11087020	Prednisolone 10mg/5ml oral solution	Prednisolone	2mg/1ml	Oral solution	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	December 2013
78129	33577911000001102	1	70648021	Dilacort 5mg gastro-resistant tablets (Teva UK Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	October 2019
82675	30129111000001103	0	53918021	Prednisolone 10mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Prednisolone	10mg/1ml	Oral solution	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201/10020100	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)/Drugs Which Enhance Neuromuscular Transmission	January 2021
60421	18285211000001104	1	06613020	Prednisolone 5mg tablets (Strides Pharma UK Ltd)	Prednisolone	5mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	July 2014
80050	33428411000001103	0	70523021	Prednisolone 1mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)	Prednisolone	1mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	March 2020
63082	28808711000001109	25984	46605021	Prednisolone 20mg tablets	Prednisolone	20mg	Tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	May 2015
60946	5363111000001107	47	00528020	Entocort CR 3mg capsules (Waymade Healthcare Plc)	Budesonide	3mg	Modified-release capsule	Oral	01050200	Corticosteroids In Chronic Bowel Problems	August 2014
34393	18307211000001104	482	54227020	Prednisolone 5mg gastro-resistant tablets (Teva UK Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
58987	17916811000001103	0	06627020	Prednisolone 5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd)	Prednisolone	5mg	Gastro-resistant tablet	Oral	01050200/03020000/05011000/05040800/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	March 2014
2704	325450008	229900	66162020	Prednisolone 25mg tablets	Prednisolone	25mg	Tablet	Oral	01050200/03020000/06030200/08020200/10010201	Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions)	February 2009
