prodcode	dmdcode	therapyevents	gemscriptcode	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	bnfheader	databasebuild
35547	4087311000001107	473	92281020	Gestone 50mg/1ml solution for injection ampoules (Nordic Pharma Ltd)	Progesterone	50mg/1ml	Solution for injection	Intramuscular	06040102/06040103	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)	February 2009
15328	242785001000027102	2758	90879020	Estradiol 25micrograms/24hr twice weekly patch	Estradiol	25micrograms/24 hours	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
61088	3545111000001106	2852	12963020	Generic Logynon tablets			Not applicable	Route of administration not applicable	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	September 2014
50200	17897611000001109	3	12101020	Climagest 1mg tablets (Sigma Pharmaceuticals Plc)			Not applicable	Route of administration not applicable	06040101	Oestrogens And HRT	January 2013
8176	326350003	9243	70672020	Ethinylestradiol 20microgram / Norethisterone acetate 1mg tablets	Norethisterone acetate/Ethinylestradiol	1mg + 20microgram	Tablet	Oral	06040103/07030150	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Low Strength (Oral)	February 2009
1792	138205001000027104	2931	66261020	Progesterone 200mg suppositories	Progesterone	200mg	Suppository	Rectal	06040102	Progestogens And Progesterone Receptor Modulators	February 2009
1428	221111000001109	177868	57710020	Primolut N 5mg tablets (Bayer Plc)	Norethisterone	5mg	Tablet	Oral	06040102/06040103	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)	February 2009
11882	240035001000027101	179	88746020	Estradiol 50micrograms/24hr twice weekly patch	Estradiol	50 micrograms/24 hours (0.78mg/unit)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
75881	36394811000001104	84	82969021	Lubion 25mg/1.112ml solution for injection vials (IBSA Pharma Ltd)	Progesterone	22.48mg/1ml	Solution for injection	Intramuscular/Subcutaneous	06040102/06040103	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)	April 2019
3174	325601006	86739	64344020	Medroxyprogesterone 10mg tablets	Medroxyprogesterone acetate	10mg	Tablet	Oral	06040102/06040103	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)	February 2009
19135	3773711000001106	106	54179020	Estradiol 50mg implant (Organon Pharma (UK) Ltd)	Estradiol	50mg	Implant	Subcutaneous	06040101	Oestrogens And HRT	February 2009
2209	521411000001105	314396	73528020	Livial 2.5mg tablets (Organon Pharma (UK) Ltd)	Tibolone	2.5mg	Tablet	Oral	06040101	Oestrogens And HRT	February 2009
49700	18591611000001105	12	07136020	Marvelon tablets (DE Pharmaceuticals)	Desogestrel/Ethinylestradiol	150microgram + 30microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	January 2013
15869	2947611000001105	721	84436020	Dermestril 50 patches (Kyowa Kirin Ltd)	Estradiol	50microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	February 2009
11375	214145001000027108	1627	80632020	Estradiol 50micrograms/24hr once weekly patch	Estradiol	50micrograms/24 hours(1.5mg/unit)	Once Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
22335	214185001000027104	460	80637020	Estradiol 100micrograms/24hr once weekly patch	Estradiol	100mcg/24 hours (3.0mg/unit)	Once Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
52306	18294211000001104	3	11364020	Femoston-conti 1mg/5mg tablets (Stephar (U.K.) Ltd)	Dydrogesterone/Estradiol	5mg + 1mg	Tablet	Oral	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	January 2013
87768	37404211000001107	0	88040021	FemSeven Conti patches (CST Pharma Ltd)	Estradiol/Levonorgestrel	50microgram/24hour + 7microgram/24hour	Transdermal patch	Transdermal	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	March 2023
65786	23278611000001101	0	17805021	Ethinylestradiol 30microgram / Desogestrel 150microgram tablets (AM Distributions (Yorkshire) Ltd)	Desogestrel/Ethinylestradiol	150microgram + 30microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	March 2016
77331	207065001000027102	1	78188020	Estradiol valerate with levonorgestrel 2mg with 75micrograms tablets	Estradiol Valerate/Levonorgestrel				06040101	Oestrogens And HRT	August 2019
28811	198735001000027106	12	75773020	Mestranol with norethisterone Tablet	Norethisterone/Mestranol		Tablet	Oral	06040101	Oestrogens And HRT	February 2009
2547	327375009	1067	82785020	Toremifene 60mg tablets	Toremifene citrate	60mg	Tablet	Oral	06040104/08030401	Selective Estrogen Receptor Modulators (Serms)/Breast Cancer	February 2009
66575	18070611000001107	181	06730020	Evorel 50 patches (Lexon (UK) Ltd)	Estradiol	50microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	June 2016
13209	39711411000001108	27642	80480020	Etonogestrel 68mg implant	Etonogestrel	68mg	Implant	Subcutaneous	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	February 2009
16443	4501811000001107	266	78209020	FemTab Continuous tablets (Merck Serono Ltd)	Estradiol/Norethisterone acetate	2mg + 1mg	Tablet	Oral	06040101	Oestrogens And HRT	February 2009
59213	22214111000001104	537	15479021	Medroxyprogesterone 104mg/0.65ml suspension for injection pre-filled disposable devices	Medroxyprogesterone acetate	160mg/1ml	Suspension for injection	Subcutaneous	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	March 2014
6019	39709011000001102	8941	66266020	Progesterone 400mg pessaries	Progesterone	400mg	Pessary	Vaginal/Rectal	06040102/06040103	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)	February 2009
6041	325577001	50098	79410020	Estradiol 0.06% gel (750microgram per actuation)	Estradiol	600microgram/1gram	Gel	Transdermal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
39622	293111000001101	18094	96648020	Hormonin tablets (Advanz Pharma)	Estrone/Estradiol/Estriol	1.4mg + 600microgram + 270microgram	Tablet	Oral	06040101	Oestrogens And HRT	May 2009
9224	129875001000027100	21714	65144020	Norgestrel and conjugated oestrogens (equine) 150micrograms + 625micrograms Tablet	Norgestrel/Conjugated Oestrogens	150micrograms + 625micrograms	Tablet	Oral	06040101	Oestrogens And HRT	February 2009
2061	326447002	61207	71552020	Norethisterone 350microgram tablets	Norethisterone	350microgram	Tablet	Oral	06040103/07030201	Progestogen Products Doubling (In House Use)/Oral Progestogen-Only Contraceptives	February 2009
63654	224605001000027103	1	83841020	Estradiol with dydrogesterone 1mg +10mg tablets	Dydrogesterone/Estradiol				06040101	Oestrogens And HRT	July 2015
26049	240055001000027102	10	88750020	Estradiol 100micrograms/24hr twice weekly patch	Estradiol	100 micrograms/24 hours (1.56mg/unit)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
57181	22562211000001105	17024	16437021	Lizinna 250microgram/35microgram tablets (Morningside Healthcare Ltd)	Norgestimate/Ethinylestradiol	250microgram + 35microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	September 2013
63102	21933611000001103	18	47518020	Lestramyl 20microgram/150microgram tablets (Viatris UK Healthcare Ltd)	Desogestrel/Ethinylestradiol	150microgram + 20microgram	Tablet	Oral	06040103/07030150	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Low Strength (Oral)	May 2015
35502	35931211000001102	159	92279020	Progesterone 50mg/1ml solution for injection ampoules	Progesterone	50mg/1ml	Solution for injection	Intramuscular	06040102/06040103	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)	February 2009
9824	36032611000001102	490	65138020	Norethisterone 200mg/1ml solution for injection ampoules	Norethisterone enantate	200mg/1ml	Solution for injection	Intramuscular	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	February 2009
239	193611000001107	934095	55274020	Micronor 350microgram tablets (Janssen-Cilag Ltd)	Norethisterone	350microgram	Tablet	Oral	06040103/07030201	Progestogen Products Doubling (In House Use)/Oral Progestogen-Only Contraceptives	February 2009
1720	326425002	10979	71246020	Levonorgestrel 30microgram tablets	Levonorgestrel	30microgram	Tablet	Oral	06040103/07030201	Progestogen Products Doubling (In House Use)/Oral Progestogen-Only Contraceptives	February 2009
11297	131055001000027105	1815	65289020	Estradiol valerate and (estradiol valerate with levonorgestrel) 2mg with (2mg with 75micrograms) tablets	Estradiol Valerate/Levonorgestrel	2mg + (2mg + 75micrograms)	Tablets	Oral	06040101	Oestrogens And HRT	February 2009
49214	19736611000001107	9	38575020	Cilest 35microgram/250microgram tablets (Mawdsley-Brooks & Company Ltd)	Norgestimate/Ethinylestradiol	250microgram + 35microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	January 2013
67635	16192111000001106	1	13521020	Indivina 1mg/5mg tablets (Lexon (UK) Ltd)	Medroxyprogesterone acetate/Estradiol valerate	5mg + 1mg	Tablet	Oral	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	September 2016
13945	225945001000027103	338	84154020	Estradiol and (estradiol with levonorgestrel) 80mcg/24hrs with (50mcg+20mcg/24hr) twice weekly patch	Estradiol Hemihydrate/Levonorgestrel	80mcg/24hrs + (50mcg+20mcg/24hr)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
84326	38155711000001101	5	91604021	Nexplanon 68mg implant (DE Pharmaceuticals)	Etonogestrel	68mg	Implant	Subcutaneous	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	August 2021
29449	99935001000027107	2	60999020	Estradiol 1mg/ml injection	Estradiol Valerate	1mg/ml	Injection		06040101	Oestrogens And HRT	February 2009
7388	2842511000001103	43899	56940020	Zumenon 1mg tablets (Viatris UK Healthcare Ltd)	Estradiol	1mg	Tablet	Oral	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
9268	201815001000027103	7450	76737020	Estradiol 50micrograms/24hr twice weekly patch	Estradiol	50micrograms/24 hours (4mg/unit)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
9649	2893411000001103	23328	84982020	Elleste Solo MX 80 transdermal patches (Viatris UK Healthcare Ltd)	Estradiol	80microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	February 2009
10045	8160111000001102	22493	88386020	Levonelle One Step 1.5mg tablets (Bayer Plc)	Levonorgestrel	1.5mg	Tablet	Oral	06040103/07030550	Progestogen Products Doubling (In House Use)/Hormonal Methods	February 2009
85221	39964911000001106	29	99595021	Estradiol 1mg / Progesterone 100mg capsules	Estradiol/Progesterone	1mg + 100mg	Capsule	Oral	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	December 2021
1489	191895001000027106	54723	74397020	Evorel -75 75microgram/24 hr(4.8mg/unit) Transdermal patch (Janssen-Cilag Ltd)	Estradiol	75microgram/24 hr(4.8mg/unit)	Transdermal Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
78812	36925011000001105	49	86520021	Tamoxifen 20mg tablets (Relonchem Ltd)	Tamoxifen citrate	20mg	Tablet	Oral	06040104/06050100/08030401	Selective Estrogen Receptor Modulators (Serms)/Hypothalamic And Anterior Pituitary Hormones And Anti-Oestrogens/Breast Cancer	November 2019
67666	18483611000001102	27	06780020	Elleste Solo 2mg tablets (Mawdsley-Brooks & Company Ltd)	Estradiol	2mg	Tablet	Oral	06040101	Oestrogens And HRT	September 2016
9047	2893711000001109	21388	79283020	Fematrix 80 patches (Abbott Healthcare Products Ltd)	Estradiol	80microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	February 2009
5776	325481004	15285	55982020	Ethinylestradiol 50microgram tablets	Ethinylestradiol	50microgram	Tablet	Oral	06040101/08030100	Oestrogens And HRT/Oestrogens (In Malignant Disease)	February 2009
35198	11476811000001109	29444	93240020	Premarin 0.3mg tablets (Pfizer Ltd)	Conjugated oestrogens	300microgram	Tablet	Oral	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
9181	548311000001107	11684	58557020	Estring 2mg vaginal ring (Pfizer Ltd)	Estradiol	2mg	Vaginal device	Vaginal	06040101	Oestrogens And HRT	February 2009
12773	217965001000027109	798	81863020	Estradiol 100micrograms/24hr twice weekly patch	Estradiol	100micrograms/24hrs (3.0mg/unit)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
74585	18646411000001104	0	06733020	Evorel 50 patches (DE Pharmaceuticals)	Estradiol	50microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	February 2019
69137	32936711000001100	8	69938021	Conjugated oestrogens 450microgram / Bazedoxifene 20mg modified-release tablets	Bazedoxifene acetate/Conjugated oestrogens	20mg + 450microgram	Modified-release tablet	Oral	06040101/06040104	Oestrogens And HRT/Selective Estrogen Receptor Modulators (Serms)	April 2017
8777	110315001000027106	8	62487020	Dienestrol 1mg tablets	Dienestrol	1mg	Tablets	Oral	06040101	Oestrogens And HRT	February 2009
75208	24418911000001104	0	23750021	Tibolone 2.5mg tablets (A A H Pharmaceuticals Ltd)	Tibolone	2.5mg	Tablet	Oral	06040101	Oestrogens And HRT	March 2019
4244	3217311000001104	179751	84855020	Evorel Sequi patches (Theramex HQ UK Ltd)			Not applicable	Route of administration not applicable	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
52632	10497911000001100	42	12114020	Vagifem 25microgram vaginal tablets (Waymade Healthcare Plc)	Estradiol	25microgram	Pessary	Vaginal	06040101	Oestrogens And HRT	January 2013
11910	326361006	6384	80360020	Ethinylestradiol 20microgram / Gestodene 75microgram tablets	Gestodene/Ethinylestradiol	75microgram + 20microgram	Tablet	Oral	06040103/07030150	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Low Strength (Oral)	February 2009
14601	326364003	29720	80352020	Ethinylestradiol 35microgram / Norgestimate 250microgram tablets	Norgestimate/Ethinylestradiol	250microgram + 35microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	February 2009
2140	2948411000001106	47011	80507020	FemSeven 50 patches (Theramex HQ UK Ltd)	Estradiol	50microgram/24hour	Transdermal patch	Transdermal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
5292	2890411000001106	19057	80196020	Fematrix 40 patches (Abbott Healthcare Products Ltd)	Estradiol	40microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	February 2009
967	3603311000001107	1038081	56273020	Depo-Provera 150mg/1ml suspension for injection vials (Pfizer Ltd)	Medroxyprogesterone acetate	150mg/1ml	Suspension for injection	Intramuscular	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	February 2009
68352	24676611000001103	69	27017021	Aidulan 30microgram/75microgram tablets (Lupin Healthcare (UK) Ltd)	Ethinylestradiol/Gestodene	30microgram + 75microgram	Tablet	Oral	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	December 2016
4964	3049211000001104	112436	76414020	Femodette tablets (Bayer Plc)	Gestodene/Ethinylestradiol	75microgram + 20microgram	Tablet	Oral	06040103/07030150	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Low Strength (Oral)	February 2009
55963	488311000001105	176	53480020	Tamoxifen 10mg tablets (Teva UK Ltd)	Tamoxifen citrate	10mg	Tablet	Oral	06040104/06050100/08030401	Selective Estrogen Receptor Modulators (Serms)/Hypothalamic And Anterior Pituitary Hormones And Anti-Oestrogens/Breast Cancer	August 2013
67141	11733811000001109	3	67046020	Ethinylestradiol 2microgram tablets (UCB Pharma Ltd)	Ethinylestradiol	2microgram	Tablet	Oral	06040101/08030100	Oestrogens And HRT/Oestrogens (In Malignant Disease)	August 2016
57037	22208811000001100	34138	15480021	Sayana Press 104mg/0.65 ml suspension for injection pre-filled disposable devices (Pfizer Ltd)	Medroxyprogesterone acetate	160mg/1ml	Suspension for injection	Subcutaneous	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	September 2013
932	326174009	13998	69539020	Conjugated oestrogens 625micrograms/g vaginal cream	Conjugated oestrogens	625microgram/1gram	Cream	Cutaneous/Vaginal	06040101	Oestrogens And HRT	February 2009
67236	14750611000001105	1484	10315020	Prempak-C 0.625mg/0.15mg tablets (Sigma Pharmaceuticals Plc)			Not applicable	Route of administration not applicable	06040101/06040103	Oestrogens And HRT/Progestogen Products Doubling (In House Use)	August 2016
38965	2936011000001100	43578	95915020	Evorel 100 patches (Theramex HQ UK Ltd)	Estradiol	100microgram/24hour	Transdermal patch	Transdermal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
6603	99995001000027100	5316	61009020	Estradiol with estrone and estriol tablets	Estradiol/Estriol/Estrone		Tablets	Oral	06040101	Oestrogens And HRT	February 2009
9051	814711000001109	9248	56339020	Provera 200mg tablets (Pfizer Ltd)	Medroxyprogesterone acetate	200mg	Tablet	Oral	06040103/08030200	Progestogen Products Doubling (In House Use)/Progestogens (In Malignant Disease)	February 2009
9901	2939611000001104	3424	76753020	Progynova TS 100micrograms/24hours transdermal patches (Bayer Plc)	Estradiol	100microgram/24hour	Transdermal patch	Transdermal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
29499	4639611000001105	5611	78161020	Ethinylestradiol 33.9micrograms/24hours / Norelgestromin 203micrograms/24hours transdermal patches	Norelgestromin/Ethinylestradiol	203microgram/24hour + 33.9microgram/24hour	Transdermal patch	Transdermal	06040103/07030101	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Transdermal)	February 2009
6861	3853711000001105	12197	81099020	Indivina 1mg/5mg tablets (Orion Pharma (UK) Ltd)	Medroxyprogesterone acetate/Estradiol valerate	5mg + 1mg	Tablet	Oral	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
34345	825711000001101	36	60751020	Norethisterone 5mg tablets (Wockhardt UK Ltd)	Norethisterone	5mg	Tablet	Oral	06040102/06040103/08030200	Progestogens And Progesterone Receptor Modulators/Progestogen Products Doubling (In House Use)/Progestogens (In Malignant Disease)	February 2009
77702	37021711000001102	1231	87627021	Estriol 50micrograms/g vaginal gel with applicator	Estriol	50microgram/1gram	Vaginal gel	Vaginal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	August 2019
12970	3341011000001106	608	69570020	Conjugated oestrogens 1.25mg tablets and Norgestrel 150microgram tablets			Not applicable	Route of administration not applicable	06040101/06040103	Oestrogens And HRT/Progestogen Products Doubling (In House Use)	February 2009
1331	34911000001102	1023647	51239020	Premarin 0.625mg tablets (Pfizer Ltd)	Conjugated oestrogens	625microgram	Tablet	Oral	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
390	3358411000001107	103584	56922020	Climagest 1mg tablets (Novartis Pharmaceuticals UK Ltd)			Not applicable	Route of administration not applicable	06040101	Oestrogens And HRT	February 2009
87466	37754811000001109	6	90201021	FemSeven Sequi patches (CST Pharma Ltd)			Not applicable	Route of administration not applicable	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	January 2023
77979	16578511000001101	1	06692020	FemSeven 75 patches (Mawdsley-Brooks & Company Ltd)	Estradiol	75microgram/24hour	Transdermal patch	Transdermal	06040101	Oestrogens And HRT	September 2019
2262	2845111000001100	128376	68613020	Climaval 2mg tablets (Novartis Pharmaceuticals UK Ltd)	Estradiol valerate	2mg	Tablet	Oral	06040101	Oestrogens And HRT	February 2009
6563	214175001000027109	816	80636020	Estradiol 75micrograms/24hr once weekly patch	Estradiol	75micrograms/24 hours	Once Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
84027	37361211000001101	0	88244021	Evorel Conti patches (CST Pharma Ltd)	Norethisterone acetate/Estradiol	170microgram/24hour + 50microgram/24hour	Transdermal patch	Transdermal	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	June 2021
49841	13618911000001104	1	06812020	Provera 10mg tablets (Waymade Healthcare Plc)	Medroxyprogesterone acetate	10mg	Tablet	Oral	06040102	Progestogens And Progesterone Receptor Modulators	January 2013
79125	33549211000001104	4	70698021	Ezinelle 1.5mg tablets (Viatris UK Healthcare Ltd)	Levonorgestrel	1.5mg	Tablet	Oral	06040103/07030550	Progestogen Products Doubling (In House Use)/Hormonal Methods	December 2019
44278	17444111000001106	12388	98647020	TriRegol tablets (Gedeon Richter (UK) Ltd)			Not applicable	Route of administration not applicable	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	January 2011
5100	160015001000027103	4699	69398020	Estradiol 25micrograms/24hr twice weekly patch	Estradiol	25mcg/24 hours (1.6mg/unit)	Twice Weekly Patch	Transdermal	06040101	Oestrogens And HRT	February 2009
51688	18057011000001101	46	10276020	Evorel Conti patches (Lexon (UK) Ltd)	Norethisterone acetate/Estradiol	170microgram/24hour + 50microgram/24hour	Transdermal patch	Transdermal	06040101/06040103/06040105	Oestrogens And HRT/Progestogen Products Doubling (In House Use)/HRT Product - In Drug Tariff List (In House Use Only)	January 2013
4917	3052511000001108	192161	84440020	Microgynon 30 ED tablets (Bayer Plc)			Not applicable	Route of administration not applicable	06040103/07030152	Progestogen Products Doubling (In House Use)/Combined Hormonal Contraceptives - Standard Strength (Oral)	February 2009
13990	208665001000027104	15	78741020	Estradiol with norethisterone acetate 50mcg/24hours(4mg/unit) with 1mg patch with tablet	Estradiol/Norethisterone Acetate	50mcg/24hours(4mg/unit) + 1mg	Patch And Tablets		06040101	Oestrogens And HRT	February 2009
34465	70611000001104	18	60763020	Norethisterone 5mg tablets (Sandoz Ltd)	Norethisterone	5mg	Tablet	Oral	06040102/08030200	Progestogens And Progesterone Receptor Modulators/Progestogens (In Malignant Disease)	February 2009
63519	27992111000001109	5	40770021	Estriol 0.01% cream with applicator (Atnahs Pharma UK Ltd)			Not applicable	Route of administration not applicable	06040105/07020150	HRT Product - In Drug Tariff List (In House Use Only)/Oestrogens, Topical	June 2015
35001	769811000001103	1488772	92323020	Depo-Provera 150mg/1ml suspension for injection pre-filled syringes (Pfizer Ltd)	Medroxyprogesterone acetate	150mg/1ml	Suspension for injection	Intramuscular	06040103/07030202	Progestogen Products Doubling (In House Use)/Parenteral Progestogen-Only Contraceptives	February 2009
51978	16544511000001109	21	06706020	Estraderm MX 25 patches (Stephar (U.K.) Ltd)	Estradiol	25microgram/24hour	Transdermal patch	Transdermal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	January 2013
38940	2903111000001101	53319	95913020	Evorel 75 patches (Theramex HQ UK Ltd)	Estradiol	75microgram/24hour	Transdermal patch	Transdermal	06040101/06040105	Oestrogens And HRT/HRT Product - In Drug Tariff List (In House Use Only)	February 2009
8490	39704611000001105	25349	66870020	Tamoxifen 40mg tablets	Tamoxifen citrate	40mg	Tablet	Oral	06040104/06050100/08030401	Selective Estrogen Receptor Modulators (Serms)/Hypothalamic And Anterior Pituitary Hormones And Anti-Oestrogens/Breast Cancer	February 2009
